accident_month,dev_0,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,dev_11,,,,,,,,,,,,,
2021-06-30 16:00:00+00:00,9134.44,29474.09,53950.47,65596.79,82958.26,106688.96,131779.07,156469.78,210825.24,263789.47,286451.88,324723.53,,,413701362.1,599093177.9,135636769.5,301420640.6,563146122.5,629513619.8,609631160.3,2954516032,2805209659,513584827,1464719194
2021-07-31 16:00:00+00:00,13550.71,38316.37,60287.62,73530.74,94485.2,127244.94,146909.65,188050.44,233042.61,265595.3,285435.13,329512.26,,,613337915.2,482735826.6,175380227.3,439089393.9,1073200565,386700819.4,1692564602,2024295361,1059677626,393618854.4,1942793389
2021-08-31 16:00:00+00:00,17910.3,36287.05,53098.61,66399.13,90365.75,117434.95,144240.89,170064.34,182798.15,209259.4,243963.49,293330.15,,,337704940.6,282628549.6,176903832.3,574398874.2,732741588.6,718558419.3,666850569.9,162149917.1,700197751.6,1204373863,2437067120
2021-09-30 16:00:00+00:00,22552.24,36657.1,50565.63,70901.28,92446.4,124445.46,156715.15,182394.08,211846.36,258107.34,305555.82,331859.31,,,198947075.6,193447206.8,413538660.9,464192195.8,1023939841,1041332893,659407445.9,867436797.2,2140078271,2251358254,691873586.2
2021-10-31 16:00:00+00:00,12938.81,25345,51110.65,70355.72,86539.59,102511.93,116450.78,142817.28,187638.62,220667.24,248896.65,302502.82,,,153913550.3,663868719.9,370372719.3,261917648.2,255115645.1,194291539.3,695192322.3,2008952519,1090889739,796899588.9,2873621462
2021-11-30 16:00:00+00:00,19469.09,36678.21,51919.6,74365.86,94438,116037.3,158766.01,181720.58,200042.71,239013.39,258873.36,313195.36,,,296153811.2,232299969.1,503834588,402890804.2,466529760.5,1825742658,526912283.9,335700447.7,1518713900,394418408.4,2950879684
2021-12-31 16:00:00+00:00,6565.36,21642.21,45872.29,70680.99,104869.89,135121.69,170080.85,186603.96,205013.67,236003.26,269567.18,316704.68,,,227311405.9,587096776.8,615471595.7,1168880883,915171403.2,1222142868,273013164.1,338917422.3,960354688.4,1126536726,2221943906
2022-01-31 16:00:00+00:00,16995.16,37618.99,54705.74,74223.26,93249.32,111459.76,133141.24,166716.88,192661.08,202203.87,256121.73,285443.81,,,425342363.9,291957025.6,380933587,361990959.1,331620125,470086575,1127323601,673101513.6,91064840.98,2907135627,859784375.5
2022-02-28 16:00:00+00:00,13829.51,24289.13,54471.46,75840.84,83414.93,105569.23,137156.13,158700.83,193254,224541.61,259732.88,294233.44,,,109403650.5,910973044.2,456650401.6,57366839.33,490813008.5,997732251.6,464174098.1,1193921557,978914539.5,1238425484,1190288640
2022-03-31 16:00:00+00:00,13117.27,30430.26,53931.53,70542.09,86777.8,111996.65,149227.93,179405.78,196873,232670.3,293894.91,325086.79,,,299739622.7,552309691.6,275910703.5,263598279.2,635990395.3,1386168210,910702630.6,305103774.5,1281446687,3748452870,972933377.9
